Whale ID,Start Time (UTC),State,Sonar before EOE?,MFAS RL,MFAS cSEL,Echosounder Present?,Impulsive Sounds Present?,Orca Sounds Present?,Duration (hours),Foraging Dive Duration (hours),N Non-foraging Dives,Longest Non-foraging Dive (hours),Surface Time (hours),Echolocation Clicking Duration (minutes),Maximum Dive Depth (km),Distance Traveled (km)
Zica-20191012-145101,2019-10-17T16:23:04Z,Variant,No,None,0,No,No,No,2.9,0.9,5,0.4,0.3,24.6,1.1,3
Zica-20191012-145101,2019-10-17T19:17:00Z,Variant,No,None,0,No,No,No,2.2,0.9,3,0.4,0.2,23.9,1,3.6
Zica-20191012-145101,2019-10-17T21:28:56Z,Variant,No,None,0,No,No,No,1.7,0.9,2,0.4,0.1,20.5,1.1,2
Zica-20191012-145101,2019-10-17T23:11:29Z,Variant,No,None,0,No,No,No,NA,0.9,NA,NA,NA,26.2,1.2,NA
Zica-20191111-94810,2019-11-12T00:37:49Z,Typical,No,None,0,No,No,No,2.5,1.1,4,0.6,0.2,35.3,1.6,1.4
Zica-20191111-94810,2019-11-12T03:09:32Z,Typical,No,None,0,No,No,No,2.5,1.3,3,0.5,0.1,33.5,1.5,2
Zica-20191111-94810,2019-11-12T05:42:22Z,Typical,No,None,0,No,Yes,No,2.8,1.4,3,0.4,0.2,34.5,1.6,1.1
Zica-20191111-94810,2019-11-12T08:27:50Z,Variant,No,None,0,No,Yes,No,1.7,1.4,1,0.2,0.1,32.8,1.6,0.1
Zica-20191111-94810,2019-11-12T10:09:44Z,Variant,No,None,0,No,No,No,2.4,1.3,3,0.5,0.2,21,1.6,2
Zica-20191111-94810,2019-11-12T12:35:04Z,Variant,No,None,0,No,No,No,2.4,1.1,4,0.3,0.2,19.2,1.7,1.5
Zica-20191111-94810,2019-11-12T14:58:11Z,Typical,No,None,0,No,No,No,3.6,1.3,6,0.4,0.2,35.7,1.7,1.7
Zica-20191111-94810,2019-11-12T18:36:08Z,Typical,No,None,0,No,No,No,2.6,1.3,4,0.3,0.2,46,1.7,1.5
Zica-20191111-94810,2019-11-12T21:10:10Z,Typical,No,None,0,No,No,No,2.1,1.1,3,0.3,0.2,41.4,1.7,1.3
Zica-20191111-94810,2019-11-12T23:17:11Z,Variant,No,None,0,No,No,No,4.1,1.1,7,0.4,0.6,37.7,1.6,2
Zica-20191111-94810,2019-11-13T03:22:10Z,Variant,No,None,0,No,Yes,No,3.6,0.9,7,0.5,0.4,30.4,1.2,1
Zica-20191111-94810,2019-11-13T07:00:16Z,Variant,No,None,0,No,Yes,No,0.7,0.7,0,NA,0,14.3,1,1.8
Zica-20191111-94810,2019-11-13T07:44:39Z,Variant,No,None,0,Yes,No,No,5.2,0.9,11,0.5,0.5,13.3,1,1.2
Zica-20191111-94810,2019-11-13T12:55:59Z,Variant,No,None,0,No,No,No,3.2,0.7,5,0.6,0.2,14,1,2.5
Zica-20191111-94810,2019-11-13T16:07:03Z,Typical,No,None,0,No,No,No,3.3,1.1,5,0.5,0.2,26.5,1.2,1.9
Zica-20191111-94810,2019-11-13T19:22:08Z,Typical,No,None,0,No,No,No,2.7,1.1,4,0.4,0.2,32,1.3,1.8
Zica-20191111-94810,2019-11-13T22:03:50Z,Typical,No,None,0,No,No,No,2.6,1.1,5,0.3,0.2,37.2,1,1.1
Zica-20191111-94810,2019-11-14T00:41:54Z,Typical,No,None,0,No,No,No,2.8,1.1,4,0.4,0.3,36.1,1.5,0.4
Zica-20191111-94810,2019-11-14T03:28:12Z,Typical,No,None,0,No,No,No,3.1,1.2,4,0.4,0.2,31.4,1.5,0.5
Zica-20191111-94810,2019-11-14T06:36:11Z,Typical,No,None,0,No,No,No,3.1,1.3,4,0.4,0.2,37.3,1.5,0.8
Zica-20191111-94810,2019-11-14T09:44:12Z,Typical,No,None,0,No,No,No,3.4,1.3,4,0.4,0.3,38.3,1.5,0.5
Zica-20191111-94810,2019-11-14T13:06:04Z,Typical,No,None,0,Yes,No,No,4.6,1.2,8,0.5,0.3,33.1,1.5,0.1
Zica-20191111-94810,2019-11-14T17:39:37Z,Typical,No,None,0,No,No,No,2.7,1.4,3,0.4,0.2,33,1.5,0
Zica-20191111-94810,2019-11-14T20:23:18Z,Typical,No,None,0,No,No,No,2.6,1.3,3,0.4,0.2,33,1.5,1.8
Zica-20191111-94810,2019-11-14T23:00:48Z,Typical,Yes,103.4,110.6,No,No,No,2.6,1.1,3,0.4,0.2,24.9,1.1,1.6
Zica-20191111-94810,2019-11-15T01:37:36Z,Variant,No,141.2,137.2,No,No,No,9.2,1,13,1.2,0.7,31.1,1.5,1.3
Zica-20191111-94810,2019-11-15T10:46:51Z,Typical,No,None,0,No,No,No,3,1.3,5,0.4,0.2,36.2,1.5,1.1
